"","Agrupamento_Decreto","Agrupamento Geral","Tipo Função Detalhada2","Subnível Função2"
"155","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"156","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"157","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"158","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"159","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"160","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"161","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"162","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"163","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"164","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"165","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"166","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"167","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"168","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"169","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"170","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"171","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"172","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"173","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"174","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"175","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"176","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"177","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"178","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"179","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"180","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"181","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"182","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"183","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"184","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"185","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"186","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"187","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"188","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"189","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"190","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"191","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"192","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"193","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"194","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"195","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"196","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"197","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"198","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"199","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"200","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"201","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"202","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"203","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"204","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"205","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"206","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"207","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"208","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"209","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"210","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"211","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"212","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"213","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"214","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"215","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"216","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"217","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"218","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"219","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"220","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"221","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"222","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"223","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"224","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"225","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"226","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"227","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"228","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"229","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"230","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"231","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"232","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"233","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"234","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"235","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"236","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"237","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"238","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"239","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"240","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"241","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"242","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"243","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"244","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"245","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
